year_month,Series ID_x,CPI,Series ID_y,PPI
1984/12,CUUR0000SEFG,103.9,PCU3117103117105,100.0
1985/01,CUUR0000SEFG,107.6,PCU3117103117105,100.1
1985/02,CUUR0000SEFG,106.3,PCU3117103117105,99.9
1985/03,CUUR0000SEFG,106.8,PCU3117103117105,98.2
1985/04,CUUR0000SEFG,106.7,PCU3117103117105,98.2
1985/05,CUUR0000SEFG,104.9,PCU3117103117105,98.3
1985/06,CUUR0000SEFG,105.2,PCU3117103117105,98.2
1985/07,CUUR0000SEFG,106.7,PCU3117103117105,97.4
1985/08,CUUR0000SEFG,107.6,PCU3117103117105,97.7
1985/09,CUUR0000SEFG,108.3,PCU3117103117105,97.7
1985/10,CUUR0000SEFG,108.1,PCU3117103117105,97.6
1985/11,CUUR0000SEFG,111.0,PCU3117103117105,97.6
1985/12,CUUR0000SEFG,111.4,PCU3117103117105,97.1
1986/01,CUUR0000SEFG,117.6,PCU3117103117105,97.1
1986/02,CUUR0000SEFG,114.1,PCU3117103117105,97.6
1986/03,CUUR0000SEFG,115.4,PCU3117103117105,97.6
1986/04,CUUR0000SEFG,115.8,PCU3117103117105,97.9
1986/05,CUUR0000SEFG,115.8,PCU3117103117105,96.7
1986/06,CUUR0000SEFG,115.1,PCU3117103117105,96.8
